collection,caption,link
ffa,pulau utama,https://res.cloudinary.com/handgun50/image/upload/v1674400538/personal/Screenshot_2023-01-21-09-38-30-389_com.farmadventure.global_icrgfw.jpg
ffa,peta,https://res.cloudinary.com/handgun50/image/upload/v1674400534/personal/Screenshot_2023-01-21-09-38-34-368_com.farmadventure.global_nxjkzu.jpg
ffa,hutan,https://res.cloudinary.com/handgun50/image/upload/v1674400536/personal/Screenshot_2023-01-21-09-38-14-015_com.farmadventure.global_c9qths.jpg
ffa,puzzle,https://res.cloudinary.com/handgun50/image/upload/v1674660220/personal/Screenshot_2023-01-23-10-34-35-967_com.farmadventure.global_jf3hso.jpg
,,
gtc,main menu,https://res.cloudinary.com/handgun50/image/upload/v1682089867/personal/gtmain_adek2l.png
gtc,travel,https://res.cloudinary.com/handgun50/image/upload/v1682089866/personal/gttravel_zmuslh.png
,,
homescapes,depan rumah,https://res.cloudinary.com/handgun50/image/upload/v1674660225/personal/Screenshot_2023-01-22-13-22-01-582_com.playrix.homescapes_pnopsw.jpg
homescapes,taman depan,https://res.cloudinary.com/handgun50/image/upload/v1674660225/personal/Screenshot_2023-01-22-13-22-08-199_com.playrix.homescapes_hyhxoh.jpg
homescapes,lantai 2 perapian,https://res.cloudinary.com/handgun50/image/upload/v1674660223/personal/Screenshot_2023-01-22-13-22-15-608_com.playrix.homescapes_bzozkl.jpg
homescapes,merge,https://res.cloudinary.com/handgun50/image/upload/v1674660221/personal/Screenshot_2023-01-25-22-17-34-803_com.playrix.homescapes_cmcqnv.jpg
homescapes,1487,https://res.cloudinary.com/handgun50/image/upload/v1674660222/personal/Screenshot_2023-01-22-13-08-00-990_com.playrix.homescapes_qnd6ow.jpg
homescapes,event cny,https://res.cloudinary.com/handgun50/image/upload/v1674660225/personal/Screenshot_2023-01-25-22-17-42-710_com.playrix.homescapes_ypsgxl.jpg
,,
genshin,ar50,https://res.cloudinary.com/handgun50/image/upload/v1674398895/personal/Screenshot_10_gb5xzu.png
genshin,stats,https://res.cloudinary.com/handgun50/image/upload/v1674399274/personal/Screenshot_1_iplwlz.png
genshin,koleksi char,https://res.cloudinary.com/handgun50/image/upload/v1674399278/personal/Screenshot_2_dqu4mq.png
genshin,area,https://res.cloudinary.com/handgun50/image/upload/v1674399285/personal/Screenshot_3_ynxkcx.png
,,
harvesttown,lahan,https://res.cloudinary.com/handgun50/image/upload/v1674400537/personal/Screenshot_2023-01-21-00-10-12-880_com.harvest.android.gr_h1ayan.jpg
harvesttown,ayam,https://res.cloudinary.com/handgun50/image/upload/v1674400533/personal/Screenshot_2023-01-21-00-10-01-923_com.harvest.android.gr_bw4qqr.jpg
harvesttown,toko kuda,https://res.cloudinary.com/handgun50/image/upload/v1674400536/personal/Screenshot_2023-01-20-23-46-51-990_com.harvest.android.gr_rnj7bs.jpg
,,
mousehunt,profile,https://res.cloudinary.com/handgun50/image/upload/v1682088762/personal/Screenshot_2023-04-21-08-38-13-332_com.hitgrab.android.mousehunt_bjbucx.jpg
mousehunt,ranking,https://res.cloudinary.com/handgun50/image/upload/v1682088785/personal/Screenshot_2023-04-21-08-39-05-532_com.hitgrab.android.mousehunt_a6wfwz.jpg
mousehunt,ui,https://res.cloudinary.com/handgun50/image/upload/v1682088787/personal/Screenshot_2023-04-21-08-39-31-837_com.hitgrab.android.mousehunt_eihhok.jpg
,,
soulknight,lobby,https://res.cloudinary.com/handgun50/image/upload/v1675774784/personal/Screenshot_2023-01-28-12-06-43-339_com.ChillyRoom.DungeonShooter_gqxzoc.jpg